The measurements of stack and heap usage are taken every 10 seconds fot 10 minutes.

I (15484) [ACQUISITION]: Stack used: 2516 words | remaining: 1580 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (15744) [AUDIO]: Stack used: 2076 words | remaining: 2020 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (16144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (16154) [SYSTEM]: Stack used: 2336 words | remaining: 1760 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (25484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (25744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (26144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (26154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (35484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (35744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (36144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (36154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (45494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (45744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (46144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (46154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (55484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (55744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (56144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (56154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107460 B | free: 183116 B | min free: 176968 B
I (65484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (65744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (66144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (66154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (75494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (75744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (76144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (76154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (85484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (85744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (86144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (86154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (95484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (95744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (96144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (96154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (105484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (105744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (106144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (106154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (115494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (115744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (116144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (116154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107452 B | free: 183124 B | min free: 176968 B
I (125484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (125744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (126144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (126154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (135484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (135744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (136144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (136154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (145494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (145744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (146144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (146154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (155484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (155744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (156144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (156154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (165494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (165744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (166144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (166154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (175494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (175744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (176144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (176154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (185484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (185744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (186144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (186154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (195494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (195744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (196144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (196154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (205484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (205744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (206144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (206154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (215484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (215744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (216144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (216154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (225494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (225744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (226144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (226154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (235484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (235744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (236144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (236154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (245484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (245744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (246144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (246154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (255484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (255744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (256144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (256154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (265484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (265744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (266144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (266154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (275484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (275744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (276144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (276154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (285494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (285744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (286144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (286154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (295484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (295744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (296144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (296154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (305484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (305744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (306144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (306154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (315494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (315744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (316144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (316154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (325484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (325744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (326144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (326154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (335484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (335744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (336144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (336154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (345494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (345744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (346144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (346154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (355484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (355744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (356144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
